VAR_9_banking-7649372199.uml	 strategy
VAR_11_banking-1212712161.uml	 strategy
VAR_3_banking-9192943257.uml	 strategy
VAR_10_banking-7791791184.uml	 strategy
VAR_2_banking-3288357417.uml	 strategy
VAR_4_banking-1637113178.uml	 strategy
VAR_All_banking-7286457992.uml	 strategy
VAR_12_banking-2193352382.uml	 strategy
VAR_5_banking-8422774812.uml	 strategy
VAR_12_banking-6329341715.uml	 strategy
VAR_All_banking-7731363564.uml	 strategy
VAR_3_banking-7581819551.uml	 strategy
