
314.0217391304348, 1261.0
322.02272727272725, 1247.0
318.0217391304348, 1258.0
320.0217391304348, 1251.0

306.0217391304348, 1251.0
302.02, 1269.0
304.0204081632653, 1254.0
304.0208333333333, 1252.0

461.0208333333333, 616.0
304.02127659574467, 1333.0
314.0232558139535, 1290.0
306.02222222222224, 1303.0
308.02222222222224, 1298.0
310.0232558139535, 1296.0
312.02222222222224, 1292.0

320.02222222222224, 1266.0
302.0217391304348, 1351.0
312.0232558139535, 1283.0
302.02272727272725, 1336.0
316.02222222222224, 1270.0
